1,1,10
1,1,9
2,1,11
2,1,10
2,1,13
1,1,12
1,1,8
2,1,11
2,1,10
2,1,15
1,1,8
1,1,14
2,1,11
2,1,10
2,1,13
1,1,10
1,1,9
2,1,11
2,1,10
2,1,12
3,1,12
5,1,8
6,1,8
7,1,9
8,1,15
9,1,8
2,1,11
1,1,15
2,1,13
3,1,12
5,1,8
6,1,8
7,1,9
8,1,15
9,1,8
2,1,11
1,1,15
2,1,13
3,1,12
5,1,8
6,1,8
5,1,9
8,1,15
9,1,8
3,1,11
7,1,15
6,1,13
1,2,10
1,2,10
1,2,12
1,2,14
1,2,15
1,2,15
2,2,8
2,2,8
2,2,9
2,2,9
2,2,10
2,2,10
2,2,10
2,2,10
2,2,11
2,2,11
2,2,11
4,2,11
2,2,11
2,2,11
4,2,12
2,2,13
4,2,13
2,2,13
4,2,13
2,2,15
3,2,11
3,2,12
3,2,12
3,2,12
5,2,8
5,2,8
5,2,8
5,2,9
6,2,13
6,2,8
6,2,8
6,2,8
7,2,15
7,2,9
7,2,9
8,2,15
8,2,15
8,2,15
9,2,8
9,2,8
9,2,8
1,3,10
1,3,10
1,3,12
1,3,14
1,3,15
1,3,15
2,3,8
2,3,8
2,3,9
2,3,9
2,3,10
2,3,10
2,3,10
2,3,10
2,3,11
2,3,11
2,3,11
4,3,11
2,3,11
2,3,11
4,3,12
2,3,13
4,3,13
2,3,13
4,3,13
2,3,15
3,3,11
3,3,12
3,3,12
3,3,12
5,3,8
5,3,8
5,3,8
5,3,9
6,3,13
6,3,8
6,3,8
6,3,8
7,3,15
7,3,9
7,3,9
8,3,15
8,3,15
8,3,15
9,3,8
9,3,8
1,1,10
